	Conclusion	Stance	Premise	Achievement	Benevolence	Conformity	Hedonism	Power	Security	Self-direction	Stimulation	Tradition	Universalism	Score
2834	The EU should synchronize national elections 	in favor of	The political composition of the European Council - and therefore the EU’s political center of gravity - continuously changes during the EU political cycle, thus preventing clearer government majorities to emerge within these two European Councils.   	0	0	0	0	1	0	0	0	0	1	2.9460784313725488
1560	We should abolish zoos	against	Zoos provide a platform for people to understand the natural and animal world.	1	0	0	0	0	0	1	0	0	1	2.625986026594546
2405	IT recruiters should consider skills instead of a degree in programming	in favor of	Now, we have so many online course platforms through which we can learn almost any skill from experts. We can also get certificates if we pass the tests. So, as Tim Cook said a 4-year degree seems old and traditional. 	1	0	0	0	0	0	1	0	0	1	2.625986026594546
3859	Reservations in India should be based on economic status	against	In India, it's easy to hide some income resources and to get a false income certificate. Though the situations are changing for the better, it is not that difficult.	0	1	0	0	1	0	0	0	0	0	2.8793103448275863
3366	Holocaust denial should be a criminal offence	against	the holocaust is a clearly documented event, anyone who denies it's existence can be easily disproven so money and time should not be wasted criminalizing it and creating laws.	0	0	0	0	0	1	1	0	0	1	1.5887987378859585
1213	We should adopt gender-neutral language	in favor of	we should adopt gender-neutral language because gender-neutral language can improve women's status in society	0	0	0	0	0	1	0	0	0	1	1.4724475997295468
3431	Entrapment should be legalized	against	Entrapment should not be legalized because police will focus on easy convictions rather than finding other criminals.	0	1	1	0	0	1	0	0	0	1	1.4745605138607165
3549	Holocaust denial should be a criminal offence	against	holocaust denial, although hurtful, is protected free speech.	0	0	1	0	0	0	1	0	0	0	1.7170385395537526
2775	We don't need immigration from non-European or non-first-world countries. 	against	What are you 5? And what do you mean by first-world? Should we create a task force just to understand what countries are to be considered the first world? Is it the money? The religion? The food? Their political system? And then reevaluate each year? This comment is plain ignorant.	0	0	0	0	0	0	0	0	0	1	1.474306964164976
2997	We do not need immigration from non-European or non-first-world countries. 	in favor of	There's nothing wrong with not wanting your continent to become chaos and putting your people first, every civilization in this world takes that idea as self-evident. We need to negotiate Remigration deals with the 3rd countries to send their nationals back and we need to use Frontex to push back any migrants coming to our borders.	0	1	1	0	1	1	0	0	0	0	2.2104462474645032
2191	We should oppose collectivism	against	we should support collectivism, as everyone in the group benefits from this practice.	1	1	0	0	0	1	0	0	0	1	2.2169540229885056
2213	We should adopt atheism	against	you can not force a religion or lack there of on someone	0	0	0	0	0	0	1	0	0	1	1.6479039891818792
1572	We should abolish zoos	against	many animals would become extinct if we did not have zoos.	0	0	0	0	0	0	0	0	0	1	1.474306964164976
1206	We should legalize cannabis	in favor of	Legalizing it would eliminate the black market for cannabis and will also free up prisons of people who are arrested and sentenced for cannabis possession.	0	1	0	0	0	1	0	0	0	1	1.428555330178048
327	We should ban whaling	against	whaling is an important cultural tradition in countries such as japan; therefore we should allow it to continue.	0	0	0	0	0	0	0	0	1	1	1.5241717376605814
4078	We should recognize Esperanto as one of the cultural languages of EU citizens	in favor of	Our local Esperanto group in Tuebingen is also in constant contact with the Esperanto groups of Strasburg and Bilbao because we are Esperanto twin towns. And there are more of these twin towns in Europe and across the world. For example, Rome and Paris are Esperanto's twin towns. This is a very concrete example of a culture of international exchange within the Esperanto community. In fact, this kind of intercultural exchange is fundamental to the culture of Esperanto.	0	0	0	0	0	1	0	0	1	1	1.5063105702050936
819	We should ban algorithmic trading	in favor of	algorithmic trading removes the human element of common sense from trading patterns, which has caused many wild mini-crashes and market fluctuations.	1	1	1	0	1	1	0	0	0	0	2.6847870182555784
202	We should ban factory farming	against	factory farming reduces the cost of food	0	0	0	0	1	1	0	0	0	0	2.9442190669371193
241	We should oppose collectivism	in favor of	collectivism gives the group priority over individual needs - this would be very unfair for some individuals who may have a higher or different need than the majority of the group	0	0	1	0	0	1	0	0	0	1	1.5191570881226053
2126	We should end the use of economic sanctions	against	sanctions are good and they can put pressure on a country to make changes	1	1	1	0	1	1	0	0	0	0	2.6847870182555784
3694	Payday loans should be banned	in favor of	payday loans prey on the most vulnerable and disadvantaged in society and is legalized loan-sharking	0	0	1	0	0	1	0	0	0	1	1.5191570881226053
1204	We should abolish the three-strikes laws	in favor of	there are individuals that have received strikes against them for minor crimes or things done as teens.   there is no magic number in three.  sentences should depend on the type and severity of crimes.	0	1	0	0	0	1	0	0	0	1	1.428555330178048
232	We should adopt gender-neutral language	against	we should not adopt gender-neutral language because no reason to change the way people have been speaking for hundreds of years	0	0	0	0	0	0	0	0	1	0	1.5740365111561871
1618	We should ban targeted killing	in favor of	state sponsored killing should never be sanctioned because it leads down the path of extra-legal activities by the state whenever it can be justified	0	1	1	0	0	1	0	0	0	1	1.4745605138607165
161	We should adopt a multi-party system	against	multi-party systems slow down what gets done because we have too many different sides trying to come to an agreement	1	0	0	0	1	1	1	0	0	1	2.7532792427315753
2132	We should legalize cannabis	in favor of	cannabis should be legalized because it's just a plant and making a plant illegal is just weird.	0	0	0	0	0	1	1	0	0	1	1.5887987378859585
433	We should subsidize space exploration	against	humans shouldn't colonize space until we learn to care for earth	0	1	1	0	0	0	0	0	0	1	1.4758846067162497
938	We should oppose collectivism	in favor of	we should oppose collectivism because it creates echo chambers in societies that makes it harder for individuals to give their thoughts and opinions on things	0	0	0	0	0	0	1	0	0	1	1.6479039891818792
3144	Migrants should not be used for political blackmail.	in favor of	Mass migration is hybrid warfare directed against our stability. State actors, such as Morocco, Belarus and Turkey have already taken advantage of mass migration. 	0	1	1	0	0	1	0	0	0	1	1.4745605138607165
963	We should introduce compulsory voting	against	some people just don't have an opinion about who to vote for	0	0	0	0	0	0	1	0	0	0	1.8215010141987824
2779	We do not need immigration from non-European or non-first-world countries. 	against	I have no trouble with, non-western, immigrants.  I have trouble with 'mass immigration'.  What happens is when they come in large numbers they do not integrate anymore.  They stick to themselves and become a new tribe that tries to change their host country.'	0	0	1	0	0	1	0	0	1	0	1.552400270453009
349	We should subsidize space exploration	in favor of	we need to subsidize space exploration so we can find somewhere for the human race to go when we finally get done destroying our planet.	0	0	0	0	0	0	0	0	0	1	1.474306964164976
3997	We should reduce environment pollution by limiting number of people in Europe	against	If we tried to fix the issue by controlling the population, countries like Denmark would need to reduce their population to 1/5 of the current number, to reach sustainable resource use.	0	0	0	0	0	0	0	0	0	1	1.474306964164976
101	We should prohibit school prayer	in favor of	we have seperation of church and state for a reason.  schools are a government entity that is not suppose to be involved with, or support, any particular religion and the two need to stay seperate.	0	0	1	0	0	0	1	0	0	0	1.7170385395537526
1548	We should ban private military companies	in favor of	the defense of a country can only be trusted with the government, and should not be motivated by money and greed.	1	0	0	0	1	1	0	0	0	1	2.9862237998647734
1174	We should prohibit school prayer	in favor of	in a society full of freedoms should not impose a unique way of manifesting religious beliefs, therefore praying should be something that is done at home, not at school.	0	0	1	0	0	0	1	0	0	1	1.6361280144241606
2302	We should limit judicial activism	in favor of	everybody is entitled to an opinion and everybody has different ones. it isn't fair to punish someone based on something other than the law.	0	0	1	0	0	0	0	0	0	1	1.5434415145368494
1168	We should legalize cannabis	against	cannabis creates a stoner subculture which is a blight on our society.	0	0	1	0	0	1	0	0	0	0	1.5415821501014202
1037	We should legalize cannabis	against	Growing marijuana harms the environment. Marijuana farming results in deforestation, soil erosion, habitat destruction and landslides.	0	0	1	0	0	0	0	0	0	1	1.5434415145368494
1744	We should abolish capital punishment	against	capital punishment can influence better behavior	0	1	1	0	0	0	0	0	0	0	1.4766734279918867
1055	We should subsidize journalism	in favor of	we need journalists to keep us informed as to what is going on in the world	0	1	0	0	1	0	1	0	0	1	2.2636071670047326
3576	Blockade of the Gaza Strip should be ended	against	while hamas is in control of the gaza strip there remains a high possibility of terrorist acts towards the israeli people so the blockade must continue for the safety of israel.	0	0	0	0	0	1	0	0	0	1	1.4724475997295468
4050	We should promote collaborative civic technologies for enhancing citizen participation as an added value to collaborative urban processes	in favor of	Civic technologies can support the co-creation, co-production, and co-management of public services with citizens and the development of the urban commoning approach.	1	1	0	0	1	1	0	1	0	1	2.907482533243183
393	We should ban private military companies	against	We should not ban because it has been proven to work and can serve specific issues	1	0	0	0	0	1	0	0	0	1	2.509015100292991
624	We should subsidize student loans	against	we should not subsidize student loans because students should have worked to pay for college instead of going into debt.	1	1	1	0	1	1	1	0	0	0	2.5409060175794456
1545	We should prohibit school prayer	against	we should not prohibit school prayer as long as the type of prayer is not religion specific.	0	1	0	0	0	0	1	0	0	1	1.5455262564796028
3996	We should put a higher tax or a toll on imported meat from abroad.	in favor of	I agree! So perhaps we will have less meat but also less pollution, and much more quality of meat, of air and of environment	0	0	0	0	0	1	0	0	0	1	1.4724475997295468
1154	We should subsidize embryonic stem cell research	against	stem cell research will encourage more abortions	0	0	1	0	0	0	0	0	0	1	1.5434415145368494
1594	We should adopt a multi-party system	in favor of	the two-party system is outdated and has proven, lately, that it does not always result in the best possible candidates.	1	0	0	0	0	1	0	0	0	1	2.509015100292991
4112	We should speak about the ongoing genocide in China.	in favor of	I am concerned about the source of some cotton, which is produced in Chinese detention camps. A unified EU mark of ethical & environmental principles would be a nice thing to have when deciding what to buy.	0	0	0	0	0	0	0	0	0	1	1.474306964164976
1245	We should prohibit school prayer	against	school prayer unites children and teachers together	0	1	1	0	0	1	0	0	1	1	1.4944557133198106
1959	We should prohibit school prayer	against	prayer should be a parental decision and not one made by government and teachers	0	0	0	0	1	0	1	0	1	0	2.6044624746450302
2674	We need a common migration and asylum policy, based on respect for rights and equal treatment	against	We should not bring the problem to Europe, but we should rather help where it is needed in their region! 	0	1	0	0	1	0	0	0	0	1	2.410975884606716
879	We should abolish the three-strikes laws	in favor of	the three strike law is too strict for some offenders	0	0	0	0	0	0	0	0	0	1	1.474306964164976
289	We should subsidize journalism	in favor of	subsidizing journalism would bring more accurate reporting because it would allow for the hiring of more qualified reporters.	1	1	0	0	1	0	0	0	0	1	2.953769438810007
3823	Cattle slaughter should be banned	against	70% of the cattle in India is owned by marginal farmers. They cannot afford to maintain their cattle after the cattle stop providing benefits to farmers, like providing milk, dung, etc. The only way for farmers is to sell these old animals to slaughterhouses.	1	0	0	0	1	1	1	0	0	1	2.7532792427315753
2862	EU needs an action plan against digital addiction 	against	Technology brings people together when they are distant, accelerates bureaucratic procedures, it allows us to work from home or from any country in the EU or outside. It allows for an immense flow of information to be easily accessible to us. As long as people do not want to do illegal online activities, it is each person’s individual decision what to do with their own online time or how much time they might want to be online.	1	0	0	0	0	1	1	0	0	1	2.3371365787694387
1978	We should introduce compulsory voting	in favor of	compulsory voting would require everyone to participate in our democracy and ensure that a candidate is selected by more than just the 10 or 20 percent of the population that gets out to vote.	0	1	0	0	1	0	0	0	0	1	2.410975884606716
3028	There should be a better post-Brexit European Alliance	against	The EU and its member states have already various partnership or neighborhood programs for Non-EU states.	0	0	1	0	1	1	0	0	0	1	2.2438302907369843
852	We should adopt atheism	against	people have the freedom to religion and forcing them to chose a non religious entity is unconstitutional.	0	0	0	0	0	0	1	0	1	0	1.6977687626774847
1557	We should ban targeted killing	against	in certain circumstances it's impossible to detain highly dangerous individuals who pose a threat, the only option is targeted killing.	0	0	0	0	0	1	0	0	0	1	1.4724475997295468
3349	Holocaust denial should be a criminal offence	in favor of	it is important to remember the atrocities that occurred so as not to allow the same thing to happen again.	1	0	0	0	0	1	0	0	0	1	2.509015100292991
1633	We should ban private military companies	against	private military companies rarely actually kill anyone or operate in the manner of the official military. they are used for protection without needing tax payer dollars.	0	0	0	0	0	1	0	0	0	1	1.4724475997295468
1712	We should abolish the right to keep and bear arms	in favor of	The right to keep and bear arms should be abolished because when writing the Second Amendment the founding fathers couldn't have forseen the development of such destructive modern day weaponry.	0	0	1	0	0	1	0	0	0	0	1.5415821501014202
1337	We should subsidize space exploration	in favor of	space exploration is needed to further our nations scientific knowledge. it should be supported by government. there is no profit in it but is vital to our nation and should be undertaken with public dollars.	1	0	0	0	0	1	1	0	0	1	2.3371365787694387
3134	There should be a reform of EU trade and investment policy and a relaunch of global multilateralism.	in favor of	Both, a reform of EU trade and investment policy and a relaunch of global multilateralism are overdue.	0	0	1	0	1	0	1	0	0	1	2.331558485463151
1217	We should subsidize journalism	in favor of	i believe the government should help pay for journalism because it would allow for better coverage of news events, and help pay the high costs of filming.	1	1	0	0	0	1	1	0	0	1	2.137863421230561
